FileName,GraphSize,EdgeDensity,CanTwoColored,Method,Success,VisitedStates,Duration(ms)
training_data_42_success.json,10,0.511111,No,NeuralHeuristic_2,Yes,395,12091
training_data_43_success.json,9,0.583333,No,NeuralHeuristic_1,No,21515,407173
training_data_43_success.json,9,0.583333,No,NeuralHeuristic_2,Yes,302,7169
training_data_33_success.json,5,0.6,No,NeuralHeuristic_1,No,12609,302378
training_data_33_success.json,5,0.6,No,NeuralHeuristic_2,Yes,49,1484
training_data_69_success.json,7,0.52381,No,NeuralHeuristic_ALL,Yes,54,3198
training_data_45_success.json,10,0.533333,No,NeuralHeuristic_ALL,Yes,39,1626
training_data_21_success.json,10,0.311111,No,NeuralHeuristic_ALL,Yes,1615,25180
training_data_96_success.json,8,0.464286,No,NeuralHeuristic_ALL,Yes,47,2401
training_data_71_success.json,6,0.733333,No,NeuralHeuristic_ALL,Yes,47,2463
training_data_46_success.json,8,0.714286,No,NeuralHeuristic_ALL,Yes,123,3964
training_data_70_success.json,10,0.488889,No,NeuralHeuristic_ALL,No,50576,817298
training_data_18_success.json,10,0.266667,No,NeuralHeuristic_ALL,Yes,951,16566
training_data_79_success.json,8,0.5,No,NeuralHeuristic_ALL,Yes,1541,25565
training_data_12_success.json,8,0.678571,No,NeuralHeuristic_ALL,Yes,72,3939
training_data_55_success.json,9,0.611111,No,NeuralHeuristic_ALL,Yes,61,4362
training_data_6_success.json,9,0.472222,No,NeuralHeuristic_ALL,Yes,1894,32294
training_data_0_success.json,9,0.611111,No,NeuralHeuristic_ALL,Yes,149,6864
training_data_31_success.json,7,0.571429,No,NeuralHeuristic_ALL,Yes,56,2977
training_data_19_success.json,7,0.619048,No,NeuralHeuristic_ALL,Yes,82,3621
training_data_32_success.json,9,0.361111,No,NeuralHeuristic_ALL,Yes,1410,23772
training_data_20_success.json,7,0.47619,No,NeuralHeuristic_ALL,Yes,67,2842
training_data_22_success.json,8,0.285714,No,NeuralHeuristic_ALL,Yes,1090,17217
training_data_40_success.json,9,0.472222,No,NeuralHeuristic_ALL,Yes,56,3547
training_data_28_success.json,9,0.694444,No,NeuralHeuristic_ALL,Yes,92,6621
training_data_30_success.json,8,0.357143,No,NeuralHeuristic_ALL,Yes,60,2760
training_data_44_success.json,10,0.6,No,NeuralHeuristic_ALL,Yes,134,3420
training_data_68_success.json,8,0.357143,No,NeuralHeuristic_ALL,Yes,56,2590
training_data_66_success.json,10,0.333333,No,NeuralHeuristic_ALL,Yes,2276,32071
training_data_85_success.json,9,0.388889,No,NeuralHeuristic_ALL,Yes,2611,38922
training_data_47_success.json,6,0.6,No,NeuralHeuristic_ALL,Yes,47,2456
training_data_54_success.json,9,0.555556,No,NeuralHeuristic_ALL,Yes,47,3078
training_data_77_success.json,8,0.428571,No,NeuralHeuristic_ALL,Yes,1575,23023
training_data_78_success.json,8,0.321429,No,NeuralHeuristic_ALL,Yes,715,11316
training_data_67_success.json,8,0.571429,No,NeuralHeuristic_ALL,Yes,54,2871
training_data_29_success.json,7,0.666667,No,NeuralHeuristic_ALL,Yes,70,3166
training_data_39_success.json,3,1,No,NeuralHeuristic_ALL,Yes,37,1395
training_data_53_success.json,5,0.5,No,NeuralHeuristic_ALL,No,40821,468178
training_data_41_success.json,4,0.666667,No,NeuralHeuristic_ALL,Yes,38,1151
